Notes,State,State Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
Total,California,6,2013,2013,External causes of morbidity and mortality,V01-Y89,,,4445,38332521,11.6
Total,California,6,2013,2013,,,,,4445,38332521,11.6
,California,6,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4517,38802500,11.6
Total,California,6,2014,2014,External causes of morbidity and mortality,V01-Y89,,,4517,38802500,11.6
Total,California,6,2014,2014,,,,,4517,38802500,11.6
,California,6,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4659,39144818,11.9
Total,California,6,2015,2015,External causes of morbidity and mortality,V01-Y89,,,4659,39144818,11.9
Total,California,6,2015,2015,,,,,4659,39144818,11.9
,California,6,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4654,39250017,11.9
Total,California,6,2016,2016,External causes of morbidity and mortality,V01-Y89,,,4654,39250017,11.9
Total,California,6,2016,2016,,,,,4654,39250017,11.9
,California,6,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,4864,39536653,12.3
Total,California,6,2017,2017,External causes of morbidity and mortality,V01-Y89,,,4864,39536653,12.3
Total,California,6,2017,2017,,,,,4864,39536653,12.3
,California,6,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,5344,39557045,13.5
Total,California,6,2018,2018,External causes of morbidity and mortality,V01-Y89,,,5344,39557045,13.5
Total,California,6,2018,2018,,,,,5344,39557045,13.5
,California,6,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,6197,39512223,15.7
Total,California,6,2019,2019,External causes of morbidity and mortality,V01-Y89,,,6197,39512223,15.7
Total,California,6,2019,2019,,,,,6197,39512223,15.7
Total,California,6,,,,,,,80440,776337985,10.4
,Colorado,8,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,348,4226018,8.2
Total,Colorado,8,1999,1999,External causes of morbidity and mortality,V01-Y89,,,348,4226018,8.2
Total,Colorado,8,1999,1999,,,,,348,4226018,8.2
,Colorado,8,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,352,4301261,8.2
Total,Colorado,8,2000,2000,External causes of morbidity and mortality,V01-Y89,,,352,4301261,8.2
Total,Colorado,8,2000,2000,,,,,352,4301261,8.2
,Colorado,8,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,411,4425687,9.3
Total,Colorado,8,2001,2001,External causes of morbidity and mortality,V01-Y89,,,411,4425687,9.3
Total,Colorado,8,2001,2001,,,,,411,4425687,9.3
,Colorado,8,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,448,4490406,10
Total,Colorado,8,2002,2002,External causes of morbidity and mortality,V01-Y89,,,448,4490406,10
Total,Colorado,8,2002,2002,,,,,448,4490406,10
,Colorado,8,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,502,4528732,11.1
Total,Colorado,8,2003,2003,External causes of morbidity and mortality,V01-Y89,,,502,4528732,11.1
Total,Colorado,8,2003,2003,,,,,502,4528732,11.1
,Colorado,8,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,518,4575013,11.3
Total,Colorado,8,2004,2004,External causes of morbidity and mortality,V01-Y89,,,518,4575013,11.3
Total,Colorado,8,2004,2004,,,,,518,4575013,11.3
,Colorado,8,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,608,4631888,13.1
Total,Colorado,8,2005,2005,External causes of morbidity and mortality,V01-Y89,,,608,4631888,13.1
Total,Colorado,8,2005,2005,,,,,608,4631888,13.1
,Colorado,8,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,626,4720423,13.3
Total,Colorado,8,2006,2006,External causes of morbidity and mortality,V01-Y89,,,626,4720423,13.3
Total,Colorado,8,2006,2006,,,,,626,4720423,13.3
,Colorado,8,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,734,4803868,15.3
Total,Colorado,8,2007,2007,External causes of morbidity and mortality,V01-Y89,,,734,4803868,15.3
Total,Colorado,8,2007,2007,,,,,734,4803868,15.3
,Colorado,8,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,748,4889730,15.3
Total,Colorado,8,2008,2008,External causes of morbidity and mortality,V01-Y89,,,748,4889730,15.3
Total,Colorado,8,2008,2008,,,,,748,4889730,15.3
,Colorado,8,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,766,4972195,15.4
Total,Colorado,8,2009,2009,External causes of morbidity and mortality,V01-Y89,,,766,4972195,15.4
Total,Colorado,8,2009,2009,,,,,766,4972195,15.4
,Colorado,8,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,654,5029196,13
Total,Colorado,8,2010,2010,External causes of morbidity and mortality,V01-Y89,,,654,5029196,13
Total,Colorado,8,2010,2010,,,,,654,5029196,13
,Colorado,8,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,843,5116796,16.5
Total,Colorado,8,2011,2011,External causes of morbidity and mortality,V01-Y89,,,843,5116796,16.5
Total,Colorado,8,2011,2011,,,,,843,5116796,16.5
,Colorado,8,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,806,5187582,15.5
Total,Colorado,8,2012,2012,External causes of morbidity and mortality,V01-Y89,,,806,5187582,15.5
Total,Colorado,8,2012,2012,,,,,806,5187582,15.5
,Colorado,8,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,845,5268367,16
Total,Colorado,8,2013,2013,External causes of morbidity and mortality,V01-Y89,,,845,5268367,16
Total,Colorado,8,2013,2013,,,,,845,5268367,16
,Colorado,8,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,898,5355866,16.8
Total,Colorado,8,2014,2014,External causes of morbidity and mortality,V01-Y89,,,898,5355866,16.8
Total,Colorado,8,2014,2014,,,,,898,5355866,16.8
,Colorado,8,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,869,5456574,15.9
Total,Colorado,8,2015,2015,External causes of morbidity and mortality,V01-Y89,,,869,5456574,15.9
Total,Colorado,8,2015,2015,,,,,869,5456574,15.9
,Colorado,8,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,942,5540545,17
Total,Colorado,8,2016,2016,External causes of morbidity and mortality,V01-Y89,,,942,5540545,17
Total,Colorado,8,2016,2016,,,,,942,5540545,17
,Colorado,8,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1014,5607154,18.1
Total,Colorado,8,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1014,5607154,18.1
Total,Colorado,8,2017,2017,,,,,1014,5607154,18.1
,Colorado,8,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,994,5695564,17.5
Total,Colorado,8,2018,2018,External causes of morbidity and mortality,V01-Y89,,,994,5695564,17.5
Total,Colorado,8,2018,2018,,,,,994,5695564,17.5
,Colorado,8,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1077,5758736,18.7
Total,Colorado,8,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1077,5758736,18.7
Total,Colorado,8,2019,2019,,,,,1077,5758736,18.7
Total,Colorado,8,,,,,,,15003,104581601,14.3
,Connecticut,9,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,310,3386401,9.2
Total,Connecticut,9,1999,1999,External causes of morbidity and mortality,V01-Y89,,,310,3386401,9.2
Total,Connecticut,9,1999,1999,,,,,310,3386401,9.2
,Connecticut,9,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,320,3405565,9.4
Total,Connecticut,9,2000,2000,External causes of morbidity and mortality,V01-Y89,,,320,3405565,9.4
Total,Connecticut,9,2000,2000,,,,,320,3405565,9.4
,Connecticut,9,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,307,3432835,8.9
Total,Connecticut,9,2001,2001,External causes of morbidity and mortality,V01-Y89,,,307,3432835,8.9
Total,Connecticut,9,2001,2001,,,,,307,3432835,8.9
,Connecticut,9,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,353,3458749,10.2
Total,Connecticut,9,2002,2002,External causes of morbidity and mortality,V01-Y89,,,353,3458749,10.2
Total,Connecticut,9,2002,2002,,,,,353,3458749,10.2
,Connecticut,9,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,307,3484336,8.8
Total,Connecticut,9,2003,2003,External causes of morbidity and mortality,V01-Y89,,,307,3484336,8.8
Total,Connecticut,9,2003,2003,,,,,307,3484336,8.8
,Connecticut,9,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,333,3496094,9.5
Total,Connecticut,9,2004,2004,External causes of morbidity and mortality,V01-Y89,,,333,3496094,9.5
Total,Connecticut,9,2004,2004,,,,,333,3496094,9.5
,Connecticut,9,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,295,3506956,8.4
Total,Connecticut,9,2005,2005,External causes of morbidity and mortality,V01-Y89,,,295,3506956,8.4
Total,Connecticut,9,2005,2005,,,,,295,3506956,8.4
,Connecticut,9,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,407,3517460,11.6
Total,Connecticut,9,2006,2006,External causes of morbidity and mortality,V01-Y89,,,407,3517460,11.6
Total,Connecticut,9,2006,2006,,,,,407,3517460,11.6
,Connecticut,9,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,433,3527270,12.3
Total,Connecticut,9,2007,2007,External causes of morbidity and mortality,V01-Y89,,,433,3527270,12.3
Total,Connecticut,9,2007,2007,,,,,433,3527270,12.3
,Connecticut,9,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,385,3545579,10.9
Total,Connecticut,9,2008,2008,External causes of morbidity and mortality,V01-Y89,,,385,3545579,10.9
Total,Connecticut,9,2008,2008,,,,,385,3545579,10.9
,Connecticut,9,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,393,3561807,11
Total,Connecticut,9,2009,2009,External causes of morbidity and mortality,V01-Y89,,,393,3561807,11
Total,Connecticut,9,2009,2009,,,,,393,3561807,11
,Connecticut,9,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,363,3574097,10.2
Total,Connecticut,9,2010,2010,External causes of morbidity and mortality,V01-Y89,,,363,3574097,10.2
Total,Connecticut,9,2010,2010,,,,,363,3574097,10.2
,Connecticut,9,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,402,3580709,11.2
Total,Connecticut,9,2011,2011,External causes of morbidity and mortality,V01-Y89,,,402,3580709,11.2
Total,Connecticut,9,2011,2011,,,,,402,3580709,11.2
,Connecticut,9,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,439,3590347,12.2
Total,Connecticut,9,2012,2012,External causes of morbidity and mortality,V01-Y89,,,439,3590347,12.2
Total,Connecticut,9,2012,2012,,,,,439,3590347,12.2
,Connecticut,9,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,582,3596080,16.2
Total,Connecticut,9,2013,2013,External causes of morbidity and mortality,V01-Y89,,,582,3596080,16.2
Total,Connecticut,9,2013,2013,,,,,582,3596080,16.2
,Connecticut,9,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,623,3596677,17.3
Total,Connecticut,9,2014,2014,External causes of morbidity and mortality,V01-Y89,,,623,3596677,17.3
Total,Connecticut,9,2014,2014,,,,,623,3596677,17.3
,Connecticut,9,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,800,3590886,22.3
Total,Connecticut,9,2015,2015,External causes of morbidity and mortality,V01-Y89,,,800,3590886,22.3
Total,Connecticut,9,2015,2015,,,,,800,3590886,22.3
,Connecticut,9,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,971,3576452,27.1
Total,Connecticut,9,2016,2016,External causes of morbidity and mortality,V01-Y89,,,971,3576452,27.1
Total,Connecticut,9,2016,2016,,,,,971,3576452,27.1
,Connecticut,9,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1072,3588184,29.9
Total,Connecticut,9,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1072,3588184,29.9
Total,Connecticut,9,2017,2017,,,,,1072,3588184,29.9
,Connecticut,9,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1069,3572665,29.9
Total,Connecticut,9,2018,2018,External causes of morbidity and mortality,V01-Y89,,,1069,3572665,29.9
Total,Connecticut,9,2018,2018,,,,,1069,3572665,29.9
,Connecticut,9,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1213,3565287,34
Total,Connecticut,9,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1213,3565287,34
Total,Connecticut,9,2019,2019,,,,,1213,3565287,34
Total,Connecticut,9,,,,,,,11377,74154436,15.3
,Delaware,10,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,50,774990,6.5
Total,Delaware,10,1999,1999,External causes of morbidity and mortality,V01-Y89,,,50,774990,6.5
Total,Delaware,10,1999,1999,,,,,50,774990,6.5
,Delaware,10,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,53,783600,6.8
Total,Delaware,10,2000,2000,External causes of morbidity and mortality,V01-Y89,,,53,783600,6.8
Total,Delaware,10,2000,2000,,,,,53,783600,6.8
,Delaware,10,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,64,795699,8
Total,Delaware,10,2001,2001,External causes of morbidity and mortality,V01-Y89,,,64,795699,8
Total,Delaware,10,2001,2001,,,,,64,795699,8
,Delaware,10,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,84,806169,10.4
Total,Delaware,10,2002,2002,External causes of morbidity and mortality,V01-Y89,,,84,806169,10.4
Total,Delaware,10,2002,2002,,,,,84,806169,10.4
,Delaware,10,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,77,818003,9.4
Total,Delaware,10,2003,2003,External causes of morbidity and mortality,V01-Y89,,,77,818003,9.4
Total,Delaware,10,2003,2003,,,,,77,818003,9.4
,Delaware,10,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,63,830803,7.6
Total,Delaware,10,2004,2004,External causes of morbidity and mortality,V01-Y89,,,63,830803,7.6
Total,Delaware,10,2004,2004,,,,,63,830803,7.6
,Delaware,10,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,62,845150,7.3
Total,Delaware,10,2005,2005,External causes of morbidity and mortality,V01-Y89,,,62,845150,7.3
Total,Delaware,10,2005,2005,,,,,62,845150,7.3
,Delaware,10,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,78,859268,9.1
Total,Delaware,10,2006,2006,External causes of morbidity and mortality,V01-Y89,,,78,859268,9.1
Total,Delaware,10,2006,2006,,,,,78,859268,9.1
,Delaware,10,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,97,871749,11.1
Total,Delaware,10,2007,2007,External causes of morbidity and mortality,V01-Y89,,,97,871749,11.1
Total,Delaware,10,2007,2007,,,,,97,871749,11.1
,Delaware,10,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,123,883874,13.9
Total,Delaware,10,2008,2008,External causes of morbidity and mortality,V01-Y89,,,123,883874,13.9
Total,Delaware,10,2008,2008,,,,,123,883874,13.9
,Delaware,10,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,134,891730,15
Total,Delaware,10,2009,2009,External causes of morbidity and mortality,V01-Y89,,,134,891730,15
Total,Delaware,10,2009,2009,,,,,134,891730,15
,Delaware,10,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,145,897934,16.1
